renda_mensal,valor_solicitado,prazo_meses,taxa_juros_mensal,parcela_estimada,comprometimento_renda,score_credito,atrasos_12m,tempo_emprego_meses,reserva_meses,outros_creditos,relacao_credito_renda,finalidade,moradia,inadimplente
19618.64,11534.97,24,1.411,569.93,2.91,757,0,23,8.2,1,0.049,Reforma ou serviços,Financiada,0
4041.76,20626.36,60,2.04,599.19,14.82,590,0,47,0.8,1,0.425,Reforma ou serviços,Própria,0
3785.08,21056.47,48,1.37,601.5,15.89,836,0,4,2.9,2,0.464,Crédito pessoal,Financiada,0
3139.68,11285.35,60,1.97,322.28,10.26,768,0,30,1.7,2,0.3,Consolidação de dívidas,Própria,0
7618.4,7664.26,36,0.7,241.61,3.17,807,0,106,2.7,0,0.084,Educação,Alugada,0
10471.12,35639.57,48,1.303,1003.36,9.58,742,0,63,5.2,1,0.284,Educação,Financiada,0
4845.31,17509.37,48,3.105,706.48,14.58,393,1,45,3.7,0,0.301,Crédito pessoal,Própria,0
3088.73,2634.8,18,1.819,172.96,5.6,537,1,42,1.3,1,0.071,Financiamento de veículo,Financiada,0
3118.9,8581.99,36,1.847,328.49,10.53,631,0,92,1.5,1,0.229,Educação,Própria,0
7783.66,17049.58,24,1.017,804.23,10.33,710,0,29,3.5,1,0.183,Reforma ou serviços,Própria,0
8243.92,11901.99,24,2.303,651.11,7.9,533,1,36,2.7,1,0.12,Crédito pessoal,Financiada,1
7282.06,30528.86,24,0.779,1399.66,19.22,864,0,4,0.9,1,0.349,Reforma ou serviços,Própria,0
3441.97,6210.97,18,1.137,383.52,11.14,716,0,43,1.6,1,0.15,Reforma ou serviços,Financiada,0
6005.04,15868.7,36,3.32,761.98,12.69,468,3,65,4.4,1,0.22,Consolidação de dívidas,Financiada,0
5590.14,8907.2,12,0.55,769.07,13.76,964,0,31,0.6,0,0.133,Financiamento de veículo,Familiar,0
5955.09,11985.81,18,1.679,777.1,13.05,633,1,59,1.8,1,0.168,Financiamento de veículo,Alugada,0
8925.79,9422.69,48,2.535,341.58,3.83,712,0,36,1.3,1,0.088,Consolidação de dívidas,Própria,0
5973.23,14610.22,48,0.653,355.53,5.95,828,1,61,4.7,2,0.204,Educação,Alugada,0
7921.54,41515.03,60,0.892,896.42,11.32,687,1,50,11.5,4,0.437,Educação,Própria,0
5422.5,4488.67,60,0.994,99.67,1.84,897,0,25,5.8,1,0.069,Crédito pessoal,Financiada,0
6220.89,43616.73,12,1.409,3976.2,63.92,737,0,37,1.0,1,0.584,Crédito pessoal,Familiar,1
7691.05,59108.07,24,1.509,2954.14,38.41,588,1,43,1.0,1,0.64,Financiamento de veículo,Própria,0
2106.91,9750.01,12,1.648,902.16,42.82,773,0,42,4.5,0,0.386,Crédito pessoal,Própria,0
4265.09,22205.58,24,0.55,990.18,23.22,815,0,125,4.1,0,0.434,Financiamento de veículo,Própria,0
3884.63,26702.3,36,2.201,1081.75,27.85,501,0,41,1.8,1,0.573,Reforma ou serviços,Própria,0
3499.27,24363.62,60,0.994,541.01,15.46,946,0,108,0.5,0,0.58,Consolidação de dívidas,Financiada,0
4384.48,8091.74,60,0.714,166.27,3.79,695,0,19,1.9,3,0.154,Financiamento de veículo,Alugada,0
13138.18,7087.2,24,1.88,369.62,2.81,710,0,59,2.4,0,0.045,Reforma ou serviços,Financiada,1
3039.96,9924.72,24,3.302,605.28,19.91,382,3,78,9.7,1,0.272,Crédito pessoal,Financiada,1
9478.17,10304.37,24,2.306,563.84,5.95,636,1,12,4.0,0,0.091,Crédito pessoal,Alugada,0
1831.76,5775.74,24,0.777,264.71,14.45,769,0,66,0.2,2,0.263,Educação,Familiar,0
4225.04,7940.88,12,1.005,705.77,16.7,760,0,6,3.4,0,0.157,Reforma ou serviços,Financiada,0
5752.1,20866.05,24,1.352,1023.85,17.8,638,1,28,4.7,1,0.302,Financiamento de veículo,Própria,1
7479.13,42570.05,12,2.25,4087.55,54.65,522,0,47,4.2,1,0.474,Crédito pessoal,Familiar,0
8081.84,7282.71,12,2.251,699.31,8.65,721,1,127,4.0,0,0.075,Consolidação de dívidas,Própria,0
8503.98,18761.4,60,1.748,507.35,5.97,473,3,67,2.6,3,0.184,Financiamento de veículo,Financiada,0
4188.95,4980.61,18,2.045,333.52,7.96,856,0,27,1.5,0,0.099,Consolidação de dívidas,Financiada,0
3904.0,5963.99,24,2.662,339.47,8.7,454,0,91,0.5,0,0.127,Crédito pessoal,Familiar,0
8851.65,3597.12,36,0.55,110.41,1.25,843,0,15,8.7,0,0.034,Financiamento de veículo,Financiada,0
4618.41,3812.22,24,1.175,183.23,3.97,612,1,8,3.0,0,0.069,Financiamento de veículo,Familiar,0
2357.81,9040.06,48,0.55,214.8,9.11,853,0,59,1.1,2,0.32,Financiamento de veículo,Financiada,0
2575.44,9901.43,48,2.788,376.66,14.63,552,0,30,2.1,2,0.32,Crédito pessoal,Própria,0
2940.55,13532.91,18,2.77,964.96,32.82,499,2,48,0.5,1,0.384,Crédito pessoal,Própria,1
7077.34,10770.68,24,1.995,569.14,8.04,709,0,15,2.1,2,0.127,Crédito pessoal,Alugada,0
5680.06,5320.34,12,0.55,459.37,8.09,800,0,97,5.3,2,0.078,Financiamento de veículo,Familiar,0
7978.57,3873.37,60,1.221,91.44,1.15,842,0,91,3.4,1,0.04,Reforma ou serviços,Própria,0
3989.88,2701.95,12,1.946,254.66,6.38,638,0,12,4.6,2,0.056,Reforma ou serviços,Familiar,0
5737.1,10691.01,48,2.554,389.0,6.78,573,0,19,4.3,1,0.155,Crédito pessoal,Financiada,0
7663.93,17580.59,48,3.254,728.77,9.51,534,1,108,2.8,0,0.191,Consolidação de dívidas,Familiar,0
4292.48,6480.14,48,1.787,202.22,4.71,613,1,30,1.6,2,0.126,Educação,Financiada,0
6902.33,2483.83,36,3.519,122.75,1.78,415,4,16,1.3,2,0.03,Crédito pessoal,Financiada,0
3449.62,9266.81,24,0.73,422.32,12.24,625,0,52,6.4,2,0.224,Financiamento de veículo,Própria,0
4151.9,10094.69,36,1.311,353.58,8.52,807,0,31,3.1,2,0.203,Crédito pessoal,Financiada,0
4104.08,4548.56,12,0.982,403.67,9.84,704,0,15,2.9,2,0.092,Financiamento de veículo,Própria,0
2477.47,5263.35,12,1.425,480.29,19.39,716,0,129,3.1,2,0.177,Educação,Própria,0
7032.78,21853.63,36,2.121,874.14,12.43,710,0,8,1.5,2,0.259,Crédito pessoal,Financiada,0
3886.97,3086.65,24,0.555,137.72,3.54,722,0,39,2.8,3,0.066,Financiamento de veículo,Própria,0
5240.44,4627.69,60,1.966,132.04,2.52,509,0,79,1.0,0,0.074,Financiamento de veículo,Alugada,0
7005.68,28820.6,18,1.556,1848.23,26.38,663,0,102,1.2,1,0.343,Reforma ou serviços,Própria,0
6858.63,8519.05,18,1.713,554.02,8.08,785,0,68,3.5,2,0.104,Crédito pessoal,Própria,0
7855.37,12855.4,24,2.274,700.92,8.92,670,1,82,3.0,2,0.136,Educação,Financiada,0
4891.98,5331.98,12,2.848,530.82,10.85,481,2,74,0.7,0,0.091,Crédito pessoal,Financiada,0
3999.68,28546.17,36,1.731,1072.15,26.81,682,0,47,0.7,2,0.595,Reforma ou serviços,Própria,0
4949.24,11756.22,12,1.441,1073.83,21.7,803,0,22,4.3,0,0.198,Consolidação de dívidas,Própria,0
1826.7,7245.85,24,0.55,323.1,17.69,814,0,33,1.0,2,0.331,Financiamento de veículo,Financiada,0
2120.07,8503.1,12,1.483,778.74,36.73,855,0,18,1.8,3,0.334,Crédito pessoal,Própria,0
2290.08,5439.17,24,2.062,289.59,12.65,616,0,50,0.0,2,0.198,Crédito pessoal,Financiada,0
2802.09,11370.21,24,1.251,551.34,19.68,706,0,22,0.6,1,0.338,Educação,Própria,0
6662.66,6726.46,24,1.414,332.46,4.99,609,2,40,1.1,2,0.084,Financiamento de veículo,Familiar,0
2966.14,8501.15,60,2.035,246.62,8.31,680,0,37,1.3,4,0.239,Crédito pessoal,Alugada,0
4113.19,6691.94,36,0.758,213.12,5.18,930,0,56,2.9,0,0.136,Consolidação de dívidas,Alugada,0
11636.89,4943.99,24,2.36,272.17,2.34,838,0,40,0.6,5,0.035,Consolidação de dívidas,Própria,0
4169.41,21584.12,36,0.827,695.75,16.69,901,0,43,11.3,0,0.431,Crédito pessoal,Alugada,0
8214.64,17362.75,36,2.589,747.26,9.1,496,1,13,3.6,1,0.176,Crédito pessoal,Própria,0
2914.84,5978.96,60,1.171,139.29,4.78,506,1,27,1.1,0,0.171,Financiamento de veículo,Financiada,0
4578.11,42484.08,12,0.55,3668.18,80.12,787,0,1,2.4,0,0.773,Financiamento de veículo,Alugada,0
2885.35,7229.34,36,0.55,221.9,7.69,803,0,65,2.4,4,0.209,Financiamento de veículo,Própria,0
4214.19,22602.57,6,1.771,4003.95,95.01,839,1,35,0.2,3,0.447,Crédito pessoal,Própria,0
8755.22,1865.85,6,0.862,320.43,3.66,926,0,32,6.0,2,0.018,Crédito pessoal,Familiar,0
1781.97,9979.49,36,2.287,409.81,23.0,701,0,51,0.9,0,0.467,Consolidação de dívidas,Própria,0
6807.34,3232.69,24,2.385,178.47,2.62,598,0,45,1.4,3,0.04,Crédito pessoal,Própria,0
6025.83,6595.5,36,2.018,259.51,4.31,619,1,50,1.3,0,0.091,Crédito pessoal,Própria,0
3597.67,16570.3,24,0.55,738.89,20.54,937,0,56,2.0,4,0.384,Crédito pessoal,Financiada,0
2121.46,11915.65,12,0.55,1028.83,48.5,829,0,40,3.2,1,0.468,Educação,Própria,0
5437.82,7098.95,36,0.55,217.9,4.01,896,1,17,2.8,1,0.109,Financiamento de veículo,Financiada,0
3744.82,12728.33,24,2.963,748.61,19.99,427,2,15,0.7,1,0.283,Crédito pessoal,Financiada,0
6006.95,15353.71,18,1.394,970.37,16.15,868,0,25,1.1,1,0.213,Consolidação de dívidas,Familiar,0
5270.93,7787.11,24,3.326,476.13,9.03,506,2,118,3.8,1,0.123,Consolidação de dívidas,Própria,1
14037.91,20071.06,24,1.798,1037.05,7.39,771,0,44,5.5,2,0.119,Crédito pessoal,Alugada,0
4482.85,13623.73,12,1.06,1215.05,27.1,716,0,61,0.4,1,0.253,Reforma ou serviços,Financiada,0
2756.85,8352.41,36,2.622,361.29,13.11,509,2,33,0.3,2,0.252,Reforma ou serviços,Alugada,0
5811.33,32282.07,36,1.793,1224.79,21.08,761,0,37,6.6,2,0.463,Crédito pessoal,Financiada,0
5959.92,9255.58,12,2.399,896.79,15.05,588,2,23,0.5,2,0.129,Crédito pessoal,Financiada,0
12077.63,5699.06,24,1.803,294.63,2.44,618,1,63,2.3,0,0.039,Crédito pessoal,Alugada,0
8727.05,25105.61,18,1.499,1601.75,18.35,592,1,35,3.0,0,0.24,Financiamento de veículo,Financiada,0
6487.77,19356.63,48,3.136,785.44,12.11,555,2,68,0.8,4,0.249,Consolidação de dívidas,Alugada,0
12882.97,2859.32,24,1.14,136.85,1.06,791,0,5,2.6,1,0.018,Reforma ou serviços,Própria,0
2488.36,2969.68,12,0.58,256.9,10.32,770,0,70,0.8,0,0.099,Educação,Financiada,0
3497.37,17393.0,36,2.632,753.54,21.55,672,0,20,2.2,1,0.414,Crédito pessoal,Alugada,0
2927.6,7422.62,18,1.688,481.62,16.45,561,0,23,0.2,2,0.211,Reforma ou serviços,Financiada,0
4083.59,15351.61,60,1.018,343.16,8.4,618,1,82,3.8,2,0.313,Financiamento de veículo,Familiar,0
2214.69,8442.83,6,1.585,1486.22,67.11,849,0,89,0.3,0,0.318,Crédito pessoal,Própria,0
7709.49,18057.94,12,2.299,1739.1,22.56,631,1,47,6.0,5,0.195,Crédito pessoal,Própria,0
4530.72,15359.51,60,1.234,363.83,8.03,768,0,85,1.2,1,0.283,Reforma ou serviços,Financiada,0
2089.15,3189.86,60,1.396,78.86,3.77,655,1,27,1.0,1,0.127,Reforma ou serviços,Familiar,0
2770.42,5975.82,12,1.008,531.2,19.17,537,0,31,0.2,1,0.18,Financiamento de veículo,Própria,0
6315.69,17615.56,24,2.325,965.97,15.29,646,1,104,0.1,0,0.232,Crédito pessoal,Alugada,0
8743.38,16945.94,60,2.572,557.31,6.37,524,1,7,2.6,2,0.162,Crédito pessoal,Própria,1
17932.81,20368.03,18,1.449,1293.64,7.21,654,0,62,1.3,1,0.095,Financiamento de veículo,Própria,0
31666.31,65734.65,48,1.284,1842.92,5.82,773,0,39,2.3,0,0.173,Crédito pessoal,Própria,0
6723.39,21131.39,24,1.422,1045.44,15.55,793,0,51,3.1,0,0.262,Crédito pessoal,Própria,0
2815.51,13451.15,48,1.605,404.04,14.35,789,0,46,2.2,1,0.398,Crédito pessoal,Alugada,0
1500.0,5496.12,36,2.068,218.0,14.53,485,1,51,1.3,0,0.305,Educação,Financiada,1
6138.86,33188.47,48,0.937,861.71,14.04,592,0,38,2.0,0,0.451,Financiamento de veículo,Alugada,0
3141.3,9188.31,24,2.647,522.11,16.62,424,1,50,3.2,1,0.244,Reforma ou serviços,Alugada,0
4019.42,15402.07,60,1.942,436.86,10.87,836,0,62,1.1,1,0.319,Crédito pessoal,Própria,0
3557.86,9194.68,24,1.831,476.88,13.4,584,1,33,3.7,1,0.215,Reforma ou serviços,Própria,0
4765.34,17163.68,6,1.397,3002.11,63.0,712,0,39,1.8,1,0.3,Crédito pessoal,Financiada,0
10070.06,14677.48,36,1.826,559.89,5.56,673,1,49,5.7,1,0.121,Reforma ou serviços,Própria,0
5731.79,33231.98,12,0.55,2869.33,50.06,736,0,86,1.9,0,0.483,Financiamento de veículo,Alugada,0
4712.91,12898.82,12,2.165,1232.08,26.14,647,0,10,0.3,4,0.228,Consolidação de dívidas,Financiada,0
2736.15,18812.47,36,1.33,660.98,24.16,776,0,19,0.8,2,0.573,Reforma ou serviços,Alugada,0
1841.09,2976.33,36,0.813,95.7,5.2,718,0,132,1.7,0,0.135,Financiamento de veículo,Própria,0
3846.44,18131.14,36,1.095,612.11,15.91,623,2,57,11.1,0,0.393,Financiamento de veículo,Alugada,0
5029.46,9766.04,18,1.595,628.45,12.5,541,0,56,0.7,2,0.162,Reforma ou serviços,Alugada,0
15561.11,9315.83,12,2.563,911.64,5.86,686,0,177,10.5,2,0.05,Consolidação de dívidas,Financiada,0
5637.43,11797.59,18,1.231,734.69,13.03,825,0,55,4.0,0,0.174,Crédito pessoal,Financiada,0
9563.53,8477.0,36,2.477,358.57,3.75,601,1,30,4.4,1,0.074,Crédito pessoal,Própria,0
3815.59,17161.79,12,2.146,1637.44,42.91,718,0,4,3.2,0,0.375,Consolidação de dívidas,Financiada,0
2494.26,5852.33,48,2.646,216.72,8.69,458,1,38,8.5,1,0.196,Reforma ou serviços,Alugada,0
2858.47,3791.28,60,1.507,96.45,3.37,703,0,45,0.9,1,0.111,Reforma ou serviços,Alugada,0
3316.86,12536.25,48,2.328,436.43,13.16,579,2,77,3.9,1,0.315,Educação,Própria,0
19459.0,36453.44,24,0.55,1625.51,8.35,930,0,80,1.3,1,0.156,Financiamento de veículo,Alugada,0
3124.89,9545.09,24,2.352,525.0,16.8,472,1,64,0.9,0,0.255,Crédito pessoal,Financiada,1
8745.35,11510.69,24,0.858,532.71,6.09,830,0,88,5.3,0,0.11,Reforma ou serviços,Alugada,0
2970.84,11318.85,36,3.452,553.99,18.65,462,2,50,4.3,0,0.317,Consolidação de dívidas,Própria,1
9264.91,38147.19,48,0.883,978.56,10.56,768,0,11,3.1,0,0.343,Educação,Familiar,0
6601.71,27502.51,48,1.573,820.47,12.43,756,0,36,0.1,1,0.347,Reforma ou serviços,Alugada,0
4718.75,9065.91,18,0.886,547.11,11.59,700,0,36,0.7,2,0.16,Financiamento de veículo,Familiar,0
5070.23,12027.56,12,0.55,1038.49,20.48,743,0,47,0.3,2,0.198,Financiamento de veículo,Própria,0
3464.92,7922.27,24,3.005,468.03,13.51,479,0,90,1.6,0,0.191,Consolidação de dívidas,Familiar,0
6856.68,18456.0,6,1.955,3289.82,47.98,690,0,42,0.3,0,0.224,Crédito pessoal,Financiada,1
3921.87,4614.3,36,2.992,211.11,5.38,451,0,43,0.9,1,0.098,Consolidação de dívidas,Financiada,0
2432.17,6902.06,36,2.921,312.43,12.85,578,0,192,0.9,0,0.236,Consolidação de dívidas,Familiar,0
2354.52,12845.24,36,1.429,458.91,19.49,598,1,20,5.1,0,0.455,Financiamento de veículo,Alugada,0
5787.28,16253.81,18,0.55,950.9,16.43,797,0,54,1.0,1,0.234,Financiamento de veículo,Alugada,0
13841.83,13798.46,36,2.158,555.21,4.01,603,1,28,9.1,0,0.083,Reforma ou serviços,Própria,0
5742.26,11454.95,18,3.344,857.3,14.93,487,2,58,1.2,0,0.166,Crédito pessoal,Própria,0
4831.24,14350.22,24,2.912,839.33,17.37,622,1,97,3.0,3,0.248,Consolidação de dívidas,Alugada,0
6208.2,14760.47,36,0.913,482.97,7.78,901,0,71,2.3,1,0.198,Reforma ou serviços,Familiar,0
11685.86,41394.71,18,2.808,2961.02,25.34,588,1,53,3.7,2,0.295,Consolidação de dívidas,Própria,1
5957.65,19164.63,48,1.695,586.65,9.85,714,0,43,4.0,1,0.268,Crédito pessoal,Familiar,0
4030.47,10720.73,18,0.55,627.2,15.56,909,0,88,1.7,0,0.222,Financiamento de veículo,Familiar,0
10324.89,18638.03,48,1.002,491.03,4.76,967,0,74,1.2,1,0.15,Crédito pessoal,Financiada,0
6783.46,27467.7,60,1.431,685.18,10.1,846,0,44,3.4,1,0.337,Consolidação de dívidas,Familiar,0
13474.88,7078.35,24,0.55,315.63,2.34,927,1,178,0.6,1,0.044,Financiamento de veículo,Própria,0
5825.61,16820.46,12,1.78,1569.1,26.93,709,0,25,1.2,0,0.241,Crédito pessoal,Financiada,0
2433.88,4909.09,18,0.8,293.93,12.08,932,0,169,3.9,3,0.168,Reforma ou serviços,Própria,0
2226.43,6112.72,36,2.781,270.92,12.17,573,1,90,1.6,1,0.229,Consolidação de dívidas,Familiar,0
14472.26,10313.64,12,1.138,924.34,6.39,880,0,15,3.2,2,0.059,Consolidação de dívidas,Alugada,0
15139.87,9888.85,48,2.377,347.59,2.3,567,2,27,2.7,0,0.054,Reforma ou serviços,Alugada,0
4652.28,9782.07,36,0.952,322.24,6.93,911,0,53,1.0,2,0.175,Crédito pessoal,Própria,0
4100.39,12925.15,36,1.52,468.82,11.43,725,0,12,1.6,0,0.263,Consolidação de dívidas,Financiada,0
12868.13,14196.23,36,2.044,560.9,4.36,563,0,75,1.5,0,0.092,Educação,Financiada,0
2617.68,10336.41,36,2.665,450.08,17.19,471,2,42,4.5,1,0.329,Crédito pessoal,Financiada,1
2985.98,16904.5,6,2.945,3114.85,104.32,575,4,78,1.3,1,0.472,Consolidação de dívidas,Financiada,1
7748.67,13351.02,36,0.812,429.16,5.54,823,0,71,4.8,0,0.144,Educação,Alugada,0
4071.47,10164.48,36,1.756,383.33,9.41,634,0,37,1.5,0,0.208,Reforma ou serviços,Financiada,0
5183.51,37220.36,36,2.977,1699.08,32.78,506,1,27,2.9,2,0.598,Consolidação de dívidas,Financiada,0
4698.88,41159.15,48,1.046,1094.95,23.3,783,0,6,0.5,0,0.73,Educação,Própria,0
6410.61,23526.88,24,0.55,1049.1,16.37,917,0,174,4.2,1,0.306,Financiamento de veículo,Alugada,0
12444.73,12925.38,24,2.148,694.92,5.58,571,0,68,2.3,1,0.087,Crédito pessoal,Financiada,0
5500.4,18023.18,24,1.581,908.28,16.51,791,0,17,1.1,2,0.273,Crédito pessoal,Financiada,0
7751.61,7793.69,36,2.313,321.35,4.15,467,1,42,0.4,0,0.084,Educação,Própria,0
1500.0,14740.41,60,1.205,346.55,23.1,672,0,87,12.9,2,0.819,Financiamento de veículo,Própria,0
5045.28,5998.85,36,2.405,250.93,4.97,678,0,46,0.3,1,0.099,Consolidação de dívidas,Alugada,0
3082.85,15068.41,24,1.859,784.03,25.43,642,2,13,8.7,0,0.407,Crédito pessoal,Financiada,0
2442.43,17640.47,24,2.784,1017.57,41.66,404,2,74,6.7,0,0.602,Financiamento de veículo,Alugada,1
3016.82,6213.92,60,0.55,121.87,4.04,803,0,13,0.3,0,0.172,Financiamento de veículo,Alugada,0
4227.04,23784.59,12,1.372,2163.16,51.17,741,0,81,1.7,2,0.469,Reforma ou serviços,Alugada,0
9175.33,21978.89,48,0.55,522.24,5.69,787,0,59,3.1,1,0.2,Financiamento de veículo,Financiada,0
2284.84,7996.28,48,1.197,219.96,9.63,637,1,43,1.8,1,0.292,Financiamento de veículo,Própria,0
5299.7,16829.51,24,1.274,818.31,15.44,727,0,42,2.4,2,0.265,Educação,Própria,0
3851.54,36938.05,48,1.877,1174.4,30.49,647,0,36,4.9,4,0.799,Reforma ou serviços,Financiada,0
4243.98,30256.26,36,0.55,928.7,21.88,851,0,68,0.4,0,0.594,Financiamento de veículo,Alugada,0
9682.97,33414.42,60,1.535,856.14,8.84,654,1,16,3.0,1,0.288,Crédito pessoal,Financiada,0
7259.35,10708.72,24,0.55,477.52,6.58,897,0,29,1.1,0,0.123,Financiamento de veículo,Familiar,0
11915.56,7126.58,36,1.741,268.1,2.25,728,0,111,2.4,1,0.05,Crédito pessoal,Financiada,0
4724.99,13979.9,24,0.886,649.15,13.74,617,0,162,1.8,1,0.247,Financiamento de veículo,Própria,0
3377.63,15267.74,24,1.161,732.6,21.69,698,0,39,1.4,2,0.377,Reforma ou serviços,Financiada,1
4526.12,11992.86,12,2.236,1150.57,25.42,611,1,49,2.4,0,0.221,Crédito pessoal,Financiada,0
6043.64,9020.23,24,2.153,485.22,8.03,698,0,19,0.1,1,0.124,Crédito pessoal,Financiada,0
5801.6,6768.53,6,1.198,1175.85,20.27,608,0,24,4.4,0,0.097,Financiamento de veículo,Familiar,1
2654.72,7805.14,48,0.612,188.14,7.09,639,0,6,2.0,0,0.245,Financiamento de veículo,Financiada,0
5500.08,8416.01,18,0.55,492.37,8.95,773,0,10,1.3,1,0.128,Financiamento de veículo,Alugada,0
5990.41,15210.44,36,1.733,571.46,9.54,708,0,32,0.3,0,0.212,Consolidação de dívidas,Própria,0
24766.51,11284.47,60,1.427,281.19,1.14,725,0,83,3.2,0,0.038,Reforma ou serviços,Própria,0
16648.2,13060.8,24,0.55,582.4,3.5,831,0,43,3.2,1,0.065,Financiamento de veículo,Familiar,0
3063.77,5991.98,12,1.921,563.84,18.4,604,1,108,1.8,0,0.163,Reforma ou serviços,Alugada,0
4351.33,17014.09,24,2.448,945.86,21.74,697,0,29,2.1,0,0.326,Consolidação de dívidas,Própria,0
2098.71,11472.48,60,2.54,374.53,17.85,655,0,95,3.2,0,0.456,Consolidação de dívidas,Financiada,0
3605.36,6447.61,60,1.749,174.38,4.84,447,1,196,2.4,3,0.149,Financiamento de veículo,Alugada,0
6323.88,11871.36,36,1.837,453.65,7.17,563,1,58,6.3,1,0.156,Financiamento de veículo,Financiada,0
10982.33,7522.66,36,1.738,282.85,2.58,699,0,6,4.9,5,0.057,Crédito pessoal,Financiada,0
3308.94,4501.4,24,1.273,218.85,6.61,874,0,6,2.3,1,0.113,Crédito pessoal,Alugada,0
3466.3,24099.46,24,1.954,1267.54,36.57,542,0,11,1.9,0,0.579,Reforma ou serviços,Financiada,0
1500.0,6125.1,24,1.873,319.18,21.28,426,1,23,0.6,2,0.34,Financiamento de veículo,Alugada,0
4701.14,19412.1,24,2.051,1032.27,21.96,721,0,80,0.2,2,0.344,Crédito pessoal,Financiada,0
2691.13,21140.92,48,1.486,619.17,23.01,947,0,31,3.0,1,0.655,Consolidação de dívidas,Financiada,0
3744.94,7117.31,48,0.55,169.12,4.52,794,0,94,1.7,1,0.158,Financiamento de veículo,Financiada,0
3019.24,8023.59,48,2.098,266.81,8.84,575,0,27,3.2,1,0.221,Crédito pessoal,Alugada,0
4904.81,10449.07,18,1.28,653.66,13.33,654,1,191,6.0,2,0.178,Financiamento de veículo,Própria,0
1748.69,16190.65,12,1.409,1475.92,84.4,595,1,112,1.6,1,0.772,Educação,Alugada,1
2094.03,3910.19,60,0.917,85.02,4.06,766,0,30,0.3,1,0.156,Reforma ou serviços,Financiada,0
19468.38,18791.75,12,0.55,1622.53,8.33,847,0,21,4.3,3,0.08,Financiamento de veículo,Própria,0
